DATE,NYGDPPCAPKDITA
1970-01-01,15736.1836330101
1971-01-01,15947.7220644908
1972-01-01,16442.6579886459
1973-01-01,17495.2850451837
1974-01-01,18337.1605795574
1975-01-01,17846.9745510807
1976-01-01,19023.5041749574
1977-01-01,19427.9110592648
1978-01-01,19986.0625779522
1979-01-01,21115.9194623778
1980-01-01,21795.2545189366
1981-01-01,21952.8848612744
1982-01-01,22027.3545327407
1983-01-01,22276.812376138
1984-01-01,22990.2903298322
1985-01-01,23626.749268459
1986-01-01,24301.1433759903
1987-01-01,25074.2673152936
1988-01-01,26113.3555152329
1989-01-01,26977.9326628205
1990-01-01,27490.6320397627
1991-01-01,27894.2427947176
1992-01-01,28107.8590258445
1993-01-01,27851.1213575016
1994-01-01,28444.4102547741
1995-01-01,29265.0890480926
1996-01-01,29627.4869484224
1997-01-01,30153.7751753268
1998-01-01,30690.911722108
1999-01-01,31184.6163874566
2000-01-01,32350.9043668747
2001-01-01,32963.6706090266
2002-01-01,32998.2031900081
2003-01-01,32897.3907788976
2004-01-01,33150.4762169416
2005-01-01,33257.7698032684
2006-01-01,33751.7000191328
2007-01-01,34081.0903298709
2008-01-01,33530.3601449597
2009-01-01,31615.2708145085
2010-01-01,32058.1739940798
2011-01-01,32229.4567910904
2012-01-01,31184.5584255896
2013-01-01,30257.6274259351
2014-01-01,29979.9187217358
2015-01-01,30242.3861352184
2016-01-01,30685.645898943
2017-01-01,31244.2270989224
2018-01-01,31593.4802621599
2019-01-01,32114.2998563994
2020-01-01,29373.4450918601
2021-01-01,31600.7094763398
2022-01-01,32902.6651365736
