DATE,NYGDPPCAPKDESP
1970-01-01,11436.0331188603
1971-01-01,11824.3924635801
1972-01-01,12647.6294952165
1973-01-01,13482.8822077544
1974-01-01,14085.7110758222
1975-01-01,14009.7754794436
1976-01-01,14320.4804389576
1977-01-01,14576.1951146606
1978-01-01,14647.7246126266
1979-01-01,14525.1922827734
1980-01-01,14727.283522557
1981-01-01,14603.5909310161
1982-01-01,14697.1136411382
1983-01-01,14884.5774725596
1984-01-01,15087.438954457
1985-01-01,15381.8445670239
1986-01-01,15834.8828670987
1987-01-01,16669.9770385052
1988-01-01,17482.0869882871
1989-01-01,18297.2443971757
1990-01-01,18969.8086426392
1991-01-01,19403.3303796801
1992-01-01,19487.9512119662
1993-01-01,19187.1823103537
1994-01-01,19551.1452944731
1995-01-01,20001.790799896
1996-01-01,20448.6014871574
1997-01-01,21117.0185808291
1998-01-01,21953.667519614
1999-01-01,22846.7177460286
2000-01-01,23937.9685518675
2001-01-01,24707.3670736861
2002-01-01,25026.0864710207
2003-01-01,25310.4563874129
2004-01-01,25654.3365515924
2005-01-01,26145.8085786196
2006-01-01,26762.2672557942
2007-01-01,27218.4492597353
2008-01-01,27025.2949432871
2009-01-01,25778.9564650653
2010-01-01,25702.3468448149
2011-01-01,25402.6050717462
2012-01-01,24634.9620884239
2013-01-01,24368.9682370919
2014-01-01,24783.0829468685
2015-01-01,25754.36102944
2016-01-01,26514.3248119679
2017-01-01,27239.3524364815
2018-01-01,27739.8647682529
2019-01-01,28087.8979203438
2020-01-01,24785.446714692
2021-01-01,26125.8716662745
2022-01-01,27434.8799078797
