DATE,NYGDPPCAPKDUSA
1970-01-01,25295.2100247742
1971-01-01,25800.0012953805
1972-01-01,26867.6303169189
1973-01-01,28114.8675610758
1974-01-01,27708.5699542679
1975-01-01,27380.3393850157
1976-01-01,28582.7368220699
1977-01-01,29605.1832509229
1978-01-01,30914.6159489633
1979-01-01,31543.384323832
1980-01-01,31161.9307250523
1981-01-01,31640.6777866874
1982-01-01,30775.4413892534
1983-01-01,31893.1990487271
1984-01-01,33906.3512435069
1985-01-01,35008.5302281401
1986-01-01,35887.5545010474
1987-01-01,36798.6044063082
1988-01-01,37989.1923811549
1989-01-01,39014.204109084
1990-01-01,39303.4890094262
1991-01-01,38739.7983208225
1992-01-01,39552.0218779482
1993-01-01,40108.0080371193
1994-01-01,41215.3429307632
1995-01-01,41820.6801876235
1996-01-01,42896.4164829209
1997-01-01,44267.9058817489
1998-01-01,45715.6926453849
1999-01-01,47360.5364177179
2000-01-01,48746.0409600767
2001-01-01,48726.5816727299
2002-01-01,49095.3317986996
2003-01-01,50036.2342349321
2004-01-01,51485.2074124697
2005-01-01,52789.7314187756
2006-01-01,53738.0917251561
2007-01-01,54299.6172405205
2008-01-01,53854.1606116578
2009-01-01,51996.1834952422
2010-01-01,52963.4641697124
2011-01-01,53394.8618380061
2012-01-01,54213.4595516389
2013-01-01,54830.7840664164
2014-01-01,55675.3868536862
2015-01-01,56762.7294515989
2016-01-01,57292.5387829091
2017-01-01,58207.578310388
2018-01-01,59607.3936602496
2019-01-01,60698.0112990179
2020-01-01,58451.6067152443
2021-01-01,61829.8456266599
2022-01-01,62866.7143910206
