DATE,NYGDPPCAPKDDEU
1970-01-01,17894.2966855025
1971-01-01,18421.0421814761
1972-01-01,19121.4978922895
1973-01-01,19972.0254072346
1974-01-01,20141.9394753194
1975-01-01,20041.9479922639
1976-01-01,21124.2556950912
1977-01-01,21880.8076281356
1978-01-01,22558.714790358
1979-01-01,23484.5991918307
1980-01-01,23766.107651563
1981-01-01,23855.5258569738
1982-01-01,23783.9454870064
1983-01-01,24221.3403747435
1984-01-01,24991.3336835112
1985-01-01,25630.3329976336
1986-01-01,26204.5895785314
1987-01-01,26531.229705288
1988-01-01,27407.5200661963
1989-01-01,28256.1062209731
1990-01-01,29485.7099744881
1991-01-01,30766.9289577727
1992-01-01,31121.0705650076
1993-01-01,30615.1402117435
1994-01-01,31238.8790596628
1995-01-01,31628.1598130943
1996-01-01,31790.8668596056
1997-01-01,32313.2970704344
1998-01-01,32959.0735691418
1999-01-01,33559.3993737499
2000-01-01,34490.0757688619
2001-01-01,35011.068457503
2002-01-01,34883.0580735445
2003-01-01,34619.6640670185
2004-01-01,35034.0806086181
2005-01-01,35310.4704669272
2006-01-01,36699.446781036
2007-01-01,37842.3577913563
2008-01-01,38278.3130082531
2009-01-01,36190.3928860698
2010-01-01,37760.9136283996
2011-01-01,39977.3417095357
2012-01-01,40069.3539560742
2013-01-01,40135.0158319837
2014-01-01,40851.1617304855
2015-01-01,41103.2564363768
2016-01-01,41682.0322433511
2017-01-01,42639.5544087286
2018-01-01,42928.7412368012
2019-01-01,43292.6838917385
2020-01-01,41601.9731563516
2021-01-01,42900.0225187383
2022-01-01,43361.1771204321
